,name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,worst_grade,mean_grade,count_grade_0,count_grade_1,count_grade_2,count_grade_3,has_summary,weighted_score,priority
31,Asian Box As,916557000,SPORVEISGATA 35,0354,OSLO,4.5,2.0,385.0,11,0.4545454545454545,11,1,1,1,2,1.0,5,1,5,0,0,3.5,2
32,Atelier Asian Tapas,998537010,VULKAN 5,0178,OSLO,4.3,2.0,55.0,6,0.1428571428571428,7,1,1,1,2,0.8571428571428571,2,4,1,0,0,1.6,1
33,Atlas Brasserie,919582065,Jernbanetorget 2,0154,OSLO,4.1,2.0,138.0,3,0.3333333333333333,3,1,1,1,2,1.0,1,1,1,0,0,2.5,1
34,Aura -Jewel of India,928737969,Oscars gate 81,0256,OSLO,5.0,2.0,8.0,1,0.0,1,0,1,1,1,1.0,0,1,0,0,0,1.0,0
35,Avalon,926745751,Munkedamsveien 31,0250,OSLO,4.2,2.0,40.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
36,Awari Pizza,926761277,Helgesens gate 72,0558,OSLO,3.7,2.0,171.0,2,0.5,2,0,0,1,2,1.0,1,0,1,0,0,4.0,2
37,Aymara AS,913691601,Parkveien 64,0254,OSLO,4.4,2.0,485.0,6,0.25,8,1,1,1,2,0.75,4,2,2,0,0,2.5,1
38,Azadi Restaurant,919343923,Mandallsgate 4,0190,OSLO,3.8,2.0,308.0,21,0.6,15,1,1,1,3,1.4,5,1,7,2,0,4.7,2
39,BA3,919440295,Bygdøy Alle 3,0257,OSLO,4.1,3.0,239.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
40,BAKER HANSEN LILLE GRENSEN,912312658,KARL JOHANS GATE 25,0159,OSLO,4.0,2.0,35.0,4,0.0,7,1,0,1,1,0.5714285714285714,3,4,0,0,0,1.0,0
41,BAKER NORDBY GUNERIUS AVD 29,911737795,STORGATEN 32,0184,OSLO,3.2,2.0,12.0,1,0.0,1,0,0,0,1,1.0,0,1,0,0,0,1.0,0
42,BAKER NORDBY TØYEN   AVD 28,923536450,Økernveien 9,0653,OSLO,4.3,2.0,59.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
43,BAMBUS SUSHI NOODLES avd. Barcode,914858534,TRELASTGATA 5,0191,OSLO,4.1,2.0,185.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
44,BD57,914958202,MARKVEIEN 57,0554,OSLO,4.4,2.0,1057.0,11,0.4,10,1,1,1,3,1.1,4,2,3,1,1,3.8333333333333335,2
45,BFF,923198709,Bygdøy Alle' 15,0257,OSLO,4.3,2.0,355.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
46,BISLETT BISTRO AS,995004496,Thereses gate 20B,0168,OSLO,4.5,2.0,334.0,2,0.0,2,1,1,1,1,1.0,0,2,0,0,0,1.0,0
47,BIT ,884645182,JERNBANETORGET 6,0154,OSLO,4.0,2.0,112.0,2,0.0,6,1,1,1,1,0.3333333333333333,4,2,0,0,0,1.0,0
48,BIT AS avd AKERSGATA,916552440,AKERSGATA 36,0180,OSLO,4.4,2.0,37.0,0,0.0,5,1,0,1,0,0.0,5,0,0,0,0,0.0,0
49,BIT AS avd STORO,913205243,VITAMINVEIEN 7-9,0485,OSLO,4.1,2.0,13.0,2,0.0,6,1,0,1,1,0.3333333333333333,4,2,0,0,0,1.0,0
50,BIT OSLO BUSSTERMINAL,922149364,Schweigaards gate 10,0185,OSLO,3.7,2.0,7.0,0,0.0,2,0,0,0,0,0.0,2,0,0,0,0,0.0,0
51,BJØLSEN SUSHI & BUBBLETEA AS,925944726,Sarpsborggata 12C,0468,OSLO,4.2,2.0,112.0,2,0.0,1,1,1,1,2,2.0,0,0,1,0,0,4.0,2
52,BRASSERIE OUEST,917949050,Elisenbergveien 19,0265,OSLO,4.5,3.0,224.0,2,0.25,4,1,1,1,2,0.5,3,0,1,0,0,4.0,2
53,BURGER KING AVD 5007 ,915357679,C/O BURGER KING VALKYRIEGATEN 11,0366,OSLO,3.7,1.0,843.0,1,0.0,2,1,0,1,1,0.5,1,1,0,0,1,1.0,0
54,Bacalao til Folket Barcode,828410822,Dronning Eufemias gate 14,0191,OSLO,4.9,2.0,111.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
55,Backstube Byporten,916199422,jernbanetorget 6,0154,OSLO,4.2,1.0,56.0,1,0.0,1,1,0,0,1,1.0,0,1,0,0,0,1.0,0
56,Backstube Grønland,828505262,Grønlandsleiret 3,0190,OSLO,4.1,1.0,181.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
57,Backstube Oslo City,916199422,Stenersgata 1 (Oslo City),050,OSLO,4.3,1.0,104.0,6,0.75,4,1,0,1,2,1.5,1,0,3,0,0,4.0,2
58,Backstube S12,916199422,Storgata 12,0155,OSLO,4.3,1.0,169.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
59,Backstube Schous Plass,928505375,Thorvald Meyers gate 73B,0552,OSLO,4.3,1.0,59.0,3,0.0,2,1,0,0,3,1.5,1,0,0,1,0,9.0,2
60,Backstube Stovner,828505572,Stovner Senter,0985,OSLO,4.4,1.0,19.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
61,Baker Hansen ,912742679,SCHULTZGATE 1,0365,OSLO,4.3,2.0,225.0,7,0.25,8,1,0,1,2,0.875,3,3,2,0,0,2.2,1
62,Baker Hansen A/S,972220639,VITAMINVEIEN 7,0485,OSLO,3.9,2.0,158.0,3,0.0,6,1,0,1,1,0.5,3,3,0,0,0,1.0,0
63,Baker Hansen A/S,991483489,NYDALSVEIEN 33,0484,OSLO,4.3,2.0,72.0,3,0.0,5,1,0,1,1,0.6,2,3,0,0,0,1.0,0
64,Baker Hansen A/S CC Vest,974195259,LILLEAKERVEIEN 16,0283,OSLO,3.9,2.0,86.0,6,0.1428571428571428,7,1,0,1,2,0.8571428571428571,2,4,1,0,0,1.6,1
65,Baker Hansen Adamstuen,990124957,ULLEVÅLSVEIEN 95,0359,OSLO,4.4,2.0,105.0,5,0.0,6,1,0,1,1,0.8333333333333334,1,5,0,0,0,1.0,0
66,Baker Hansen Frogner,988862983,Skovveien 8,0257,OSLO,4.3,2.0,61.0,1,0.0,2,1,0,0,1,0.5,1,1,0,0,0,1.0,0
67,Baker Hansen Fyrstikktorget,887878552,KAROLINE KRISTIANSENS VEI 7,0661,OSLO,4.2,2.0,161.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
68,Baker Hansen HAAKON VII Gt,922558795,Haakon VIIs gate 5,0161,OSLO,4.1,2.0,21.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,0,1.0,0
69,Baker Hansen Hasle Torg,991298177,GRENSEVEIEN  50,0579,OSLO,4.0,2.0,331.0,3,0.0,6,1,0,1,1,0.5,3,3,0,0,0,1.0,0
70,Baker Hansen Hegdehaugsveien,922405506,Hegdehaugsveien 35,0352,OSLO,4.0,2.0,46.0,2,0.0,2,1,0,1,1,1.0,0,2,0,0,0,1.0,0
71,Baker Hansen Kvadraturen,914617790,Kirkegata 15,0153,OSLO,4.3,2.0,159.0,1,0.0,3,1,0,1,1,0.3333333333333333,2,1,0,0,0,1.0,0
72,Baker Hansen Løren,919539550,Lørenveien 55,0580,OSLO,4.1,2.0,246.0,4,0.0,4,1,0,1,1,1.0,0,4,0,0,0,1.0,0
73,Baker Hansen Rådhuset,990942005,Rådhusgata 21,0158,OSLO,4.3,2.0,208.0,4,0.0,6,1,0,1,1,0.6666666666666666,2,4,0,0,0,1.0,0
74,Baker Hansen Røa,976001931,Vækerøveien 207,0751,OSLO,4.2,2.0,159.0,4,0.25,4,1,0,1,2,1.0,1,2,1,0,0,2.0,1
75,Baker Hansen Sjølyst,884701392,Sjølyst plass 2,0277,OSLO,3.9,2.0,33.0,5,0.1428571428571428,7,1,0,0,2,0.7142857142857143,3,3,1,0,0,1.75,1
76,Baker Hansen Ullevål stadion ,996544311,SOGNSVEIEN 75A,0855,OSLO,4.0,2.0,81.0,10,0.2222222222222222,9,1,0,1,2,1.1111111111111112,1,6,2,0,0,1.75,1
77,Baker Hansen Vika,927097184,Ruseløkkveien 3,0251,OSLO,4.2,2.0,186.0,3,0.3333333333333333,3,1,0,1,2,1.0,1,1,1,0,0,2.5,1
78,Baker Hansen Vinderen,898879712,SLEMDALSVEIEN 70,0370,OSLO,4.3,2.0,247.0,6,0.1666666666666666,6,1,0,1,2,1.0,1,4,1,0,0,1.6,1
79,Baker Hansen Vogtsgate,914868416,Vogts gate 68,0477,OSLO,4.1,2.0,173.0,0,0.0,1,1,0,1,0,0.0,1,0,0,0,0,0.0,0
80,Baker Hansen Wesselsgate ,918558411,Wesselsgate 2A,0165,OSLO,4.3,2.0,151.0,0,0.0,1,1,0,1,0,0.0,1,0,0,0,0,0.0,0
81,Baker Nordby AS,973100572,C. J. Hambros plass,0164,OSLO,4.2,2.0,75.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
82,Baker Nordby Alna senter,981612035,STRØMSVEIEN 245,0668,OSLO,4.3,2.0,13.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
84,Baker Nordby Holmlia,927042940,Holmliaveien 75,1255,OSLO,4.3,2.0,13.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
85,Baker Nordby Ringnes Park,923035575,Sannergata 6B,0557,OSLO,3.9,2.0,14.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
86,Baker Nordby Senter Syd,983779646,LOFSRUDVEIEN 6,1281,OSLO,3.9,2.0,31.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
87,Baker Nordby Stovner,995525496,Stovner Senter 3,0985,OSLO,2.7,2.0,3.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
88,Baker Nordby Tveita,873100532,Tvetenveien 150,0671,OSLO,4.3,2.0,13.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
89,Baker Nordby avd. Bryn senter,921411855,Østensjøveien 79,0667,OSLO,4.3,2.0,13.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
90,Baker Rigal,917168636,Waldemar Thranes gate 72,0175,OSLO,4.0,2.0,46.0,6,0.6,5,1,0,0,2,1.2,2,0,3,0,0,4.0,2
91,Baker Samson avd.Carl Berner,975039013,TRONDHEIMSVEIEN 110A,0565,OSLO,4.0,2.0,194.0,12,0.4545454545454545,11,1,0,1,3,1.0909090909090908,5,1,4,1,0,4.333333333333333,2
92,Bakgården,827200522,Thorvald Meyersgate 63,0552,OSLO,4.0,2.0,69.0,1,0.0,1,0,1,1,1,1.0,0,1,0,0,0,1.0,0
93,Balkan Pizza & Kebab House avd. Bislett,982419867,Mauritz Hansens gate 5,0350,OSLO,4.2,2.0,927.0,8,0.25,8,1,0,1,2,1.0,2,4,2,0,0,2.0,1
94,Baltazar Ristorante & Enoteca AS,999259766,DRONNINGENS GATE 27,0154,OSLO,4.2,2.0,1078.0,8,0.3333333333333333,9,1,1,1,2,0.8888888888888888,4,2,3,0,1,2.8,1
95,Bamboo Sagene AS,914233429,Stockfleths gate 53B,0461,OSLO,4.2,1.0,353.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
96,Bambus Sushi Noodles Storo ,995505037,VITAMINVEIEN 9-11,0485,OSLO,1.9,2.0,66.0,0,0.0,2,1,0,1,0,0.0,2,0,0,0,0,0.0,0
97,Bar Brutus,817738532,EIRIKS GATE 2,0650,OSLO,4.3,2.0,368.0,5,0.1666666666666666,6,1,1,1,2,0.8333333333333334,2,3,1,0,0,1.75,1
98,Bar Polar,914226929,Sandakerveien 72,0484,OSLO,4.3,1.0,136.0,5,0.6666666666666666,3,1,0,1,3,1.6666666666666667,1,0,1,1,0,6.5,2
99,Barramon,997955544,"Mathallen Oslo, MARIDALSVEIEN 17 ",0178,OSLO,4.7,2.0,79.0,4,0.25,4,1,0,1,2,1.0,1,2,1,0,0,2.0,1
100,Bastard Burgers,926589040,Frognerveien 1A,0257,OSLO,3.8,2.0,228.0,1,0.0,2,1,0,1,1,0.5,1,1,0,0,0,1.0,0
101,Bastard Burgers Torggata,929099354,Torggata 18,0181,OSLO,3.9,2.0,98.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
102,Beer Palace,972350141,Holmens gate 3,0250,OSLO,4.2,2.0,1939.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
103,Beijing Palace,979722230,PILESTREDET 27,0164,OSLO,4.1,2.0,266.0,10,0.3,10,1,1,1,2,1.0,3,4,3,0,0,2.2857142857142856,1
104,Beirut kebab Grønland Torg,913691598,Smalgangen 42,0188,OSLO,4.0,1.0,450.0,6,0.5,4,1,1,1,3,1.5,1,1,1,1,0,4.666666666666667,2
105,Bella Bambina,998125138,JERNBANETORGET 1,0154,OSLO,3.5,3.0,394.0,14,0.4615384615384615,13,1,1,1,3,1.0769230769230769,6,1,5,1,0,4.285714285714286,2
106,Bella Bistro,919803185,Grefsenveien 94 A,0492,OSLO,4.3,2.0,138.0,5,0.4,5,1,1,1,2,1.0,2,1,2,0,0,3.0,1
107,Bella Notte Cafe Bar,821149932,Carl Berners plass 2,0568,OSLO,4.0,2.0,104.0,3,0.3333333333333333,3,1,1,1,2,1.0,1,1,1,0,0,2.5,1
108,Ben Reddik Restaurant,920485723,Leirfallsgata 6,0550,OSLO,4.0,2.0,363.0,2,0.0,3,1,1,1,1,0.6666666666666666,1,2,0,0,0,1.0,0
109,Benares Indisk Restaurant og Bar,926139398,Tordenskiolds gate 8,0160,OSLO,4.4,2.0,739.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
110,Best Friends Pizza,925841943,Thorvald Meyers gate 26,0555,OSLO,4.0,2.0,78.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
111,Best Konditori AS,921565712,Storgata 53 A,0182,OSLO,3.9,2.0,61.0,3,0.3333333333333333,3,0,0,1,2,1.0,1,1,1,0,0,2.5,1
112,Big Horn Steak House,975968898,MØLLERGATA 10,0179,OSLO,3.6,3.0,533.0,8,0.375,8,1,1,1,2,1.0,3,2,3,0,0,2.8,1
113,Big Horn Steak House Aker Brygge/ Burgerhouse,974192926,FJORDALLÉEN 2,0250,OSLO,3.8,3.0,1380.0,8,0.4,10,1,1,1,2,0.8,6,0,4,0,0,4.0,2
114,Big bite,924010851,Sognsveien 67,0854,OSLO,3.6,2.0,79.0,1,0.0,1,1,1,0,1,1.0,0,1,0,0,0,1.0,0
115,Billie`s Kitchen,925051527,Valkyriegata 3,0366,OSLO,4.8,2.0,8.0,3,0.3333333333333333,3,1,0,1,2,1.0,1,1,1,0,0,2.5,1
116,Birk Bar ,912240770,Tevlingveien 21,1081,OSLO,4.8,2.0,4.0,4,0.4,5,0,0,1,2,0.8,3,0,2,0,0,4.0,2
117,Bislett kebab House AVD Kalbakken,917077436,Trondheimsveien 391,0953,OSLO,3.8,1.0,1170.0,0,0.0,1,1,1,1,0,0.0,1,0,0,0,0,0.0,0
118,Bislett kebab House AVD Prinsdal,998932742,Nedre Prinsdals vei 77,1263,OSLO,3.8,1.0,705.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
119,Bislett kebab House AVD Sandaker,918905979,Sandakerveien 72C,0484,OSLO,3.6,1.0,493.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
120,Bislett kebab House Carl Berner,998009073,Trondheimsveien 139,0570,OSLO,3.6,1.0,493.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
121,Bistro Budapest,919228660,Vulkan 5,0178,OSLO,4.5,2.0,93.0,7,0.4285714285714285,7,1,0,1,2,1.0,3,1,3,0,0,3.25,2
122,Bistro X,921905750,Bøkkerveien 15,0579,OSLO,4.2,2.0,236.0,1,0.0,1,1,0,0,1,1.0,0,1,0,0,1,1.0,0
123,Bliss Consept AS,984934580,NORDSTRANDVEIEN 32,1163,OSLO,4.8,2.0,10.0,2,0.5,2,0,0,0,2,1.0,1,0,1,0,0,4.0,2
124,Bombay Cuisine ,999186874,TOFTES GATE 19B,0556,OSLO,4.4,2.0,358.0,7,0.375,8,1,1,1,2,0.875,4,1,3,0,0,3.25,2
125,Bon Lio ,912196852,Sofienberggata 17,0558,OSLO,4.7,4.0,292.0,3,0.0,6,1,1,1,1,0.5,3,3,0,0,0,1.0,0
126,BonBon,925292966,Dronning Eufemias gate 43,0194,OSLO,4.1,2.0,85.0,2,0.5,2,1,1,1,2,1.0,1,0,1,0,0,4.0,2
127,Bonita Blomster Cafe and juice ,914415047,BRISKEBYVEIEN 28,0259,OSLO,4.8,1.0,176.0,11,0.3333333333333333,9,1,0,1,3,1.2222222222222223,2,4,2,1,0,3.0,1
128,Bono ,913979842,Niels Juels gate 25,0257,OSLO,4.6,2.0,122.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
129,Borggården ,972001198,FRIDTJOF NANSENS PLASS 5,0160,OSLO,4.4,3.0,431.0,7,0.3333333333333333,9,1,1,1,2,0.7777777777777778,5,1,3,0,0,3.25,2
130,Boulangerie M,915758746,Sigurd Hoels vei 45,0655,OSLO,4.5,2.0,363.0,10,0.5714285714285714,7,1,0,1,3,1.4285714285714286,3,0,2,2,0,6.5,2
131,Brasilia Oslo,922827591,Kronprinsesse Märthas plass 1,0160,OSLO,4.4,2.0,747.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,1,1.0,0
132,Brasseri Rivoli AS,921813597,Operagata 3,0194,OSLO,4.4,3.0,284.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,1,1.0,0
133,Brasserie Blanche,914587069,Josefines gate 23 ,0351,OSLO,4.6,2.0,588.0,2,0.0,2,1,1,1,1,1.0,0,2,0,0,1,1.0,0
134,Brasserie Coucou,926504819,Henrik Ibsens gate 60C,0255,OSLO,4.3,2.0,52.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
135,Brasserie France Kasserollen Restaurantdrift as,983560342,ØVRE SLOTTSGATE 16,0157,OSLO,4.6,2.0,1003.0,6,0.1428571428571428,7,1,1,1,2,0.8571428571428571,2,4,1,0,1,1.6,1
136,Brasserie Hansken AS,976646789,AKERSGATA 2,0157,OSLO,4.2,2.0,394.0,3,0.0,6,1,1,1,1,0.5,3,3,0,0,1,1.0,0
137,Brasserie Paleo -  Thon Hotel Rosenkrantz,974103877,ROSENKRANTZ' GATE 1,0159,OSLO,4.5,3.0,173.0,7,0.1428571428571428,7,1,1,1,2,1.0,1,5,1,0,1,1.5,1
138,Braud Toastbar,922783713,Thorvald Meyers gate 47A,0555,OSLO,4.6,2.0,90.0,2,0.5,2,1,0,1,2,1.0,1,0,1,0,0,4.0,2
139,Breadbowl,919639296,Frognerveien 9,0257,OSLO,4.6,2.0,698.0,4,0.25,4,1,1,1,2,1.0,1,2,1,0,0,2.0,1
140,Breddos AS,924721391,Vulkan 5,0178,OSLO,4.0,2.0,109.0,1,0.0,1,1,1,1,1,1.0,0,1,0,0,0,1.0,0
141,Breddos Oslo Sentralstasjon,828120492,Jernbanetorget 1,0154,OSLO,4.2,2.0,31.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
142,Bristol Grill,973093673,Kristian IV's Gate 7,0164,OSLO,4.2,2.0,85.0,3,0.0,7,1,1,1,1,0.4285714285714285,4,3,0,0,0,1.0,0
143,Brobekk Grill og Pizza,915741711,BROBEKKVEIEN 100,0582,OSLO,3.8,2.0,438.0,2,0.5,2,0,0,1,2,1.0,1,0,1,0,0,4.0,2
144,Broker Restaurantdrift AS,918205713,Bogstadveien 27,0355,OSLO,3.9,2.0,510.0,3,0.3333333333333333,3,1,1,1,2,1.0,1,1,1,0,0,2.5,1
145,Brooklyn Burger Joint Oslo,918273816,Hagegata 22,0653,OSLO,4.0,2.0,244.0,5,0.3333333333333333,6,1,1,1,2,0.8333333333333334,3,1,2,0,0,3.0,1
146,Brødbakerne Skøyen,994338463,KARENSLYST ALLÉ 50,0279,OSLO,4.1,2.0,266.0,12,0.4545454545454545,11,1,0,1,2,1.0909090909090908,4,2,5,0,0,3.142857142857143,2
147,Buddha Ramen Bar,923444998,Dronning Eufemias Gate 14,0191,OSLO,4.0,2.0,214.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,0,1.0,0
148,Buddha Ramen Oslo Street Food,923444998,Torggata 16b,0181,OSLO,4.5,2.0,2.0,0,0.0,1,0,0,1,0,0.0,1,0,0,0,0,0.0,0
149,Bun´s Burgerbar,913536835,SØRENGKAIA 71,0194,OSLO,4.2,2.0,847.0,5,0.2857142857142857,7,1,1,1,2,0.7142857142857143,4,1,2,0,0,3.0,1
150,Burger Joint ,913749405,HOLMENS GATE 3,0250,OSLO,4.2,2.0,942.0,8,0.3333333333333333,9,1,1,1,2,0.8888888888888888,4,2,3,0,0,2.8,1
151,Burger King - Oslo Sentralstasjon,975893677,Jernbanetorget 1,0154,OSLO,2.6,1.0,334.0,1,0.0,1,1,0,1,1,1.0,0,1,0,0,1,1.0,0
152,Burger King Klingenberg King Food AS,973140272,KLINGENBERGGATA 5,0161,OSLO,3.5,1.0,1342.0,6,0.1428571428571428,7,1,0,1,2,0.8571428571428571,2,4,1,0,1,1.6,1
153,Burger King Manglerud,973140272,PLOGVEIEN 6,0679,OSLO,3.6,1.0,388.0,2,0.1666666666666666,6,1,0,1,2,0.3333333333333333,5,0,1,0,1,4.0,2
154,Burger King Mortensrud,918951512,LOFSRUDVEIEN 6,1281,OSLO,3.4,1.0,219.0,1,0.0,2,1,0,1,1,0.5,1,1,0,0,1,1.0,0
155,Burger King Stovner,977479363,STOVNER SENTER 3,0985,OSLO,3.5,1.0,176.0,0,0.0,1,1,0,1,0,0.0,1,0,0,0,1,0.0,0
